task,t5_base_score,german_t5_score,AA_wechsel-robust-german-from-640k-en_score,AA_wechsel-robust-german-from-640k-en_vs_t5base_%,AA_wechsel-robust-german-from-640k-en_vs_german_t5_%,green-run-640k-english-source_score,green-run-640k-english-source_vs_t5base_%,green-run-640k-english-source_vs_german_t5_%,wechsel_vs_english_diff
elementary_mathematics,0.2089947089947089,0.2116402116402116,0.2169312169312169,3.7974683544304075,2.5000000000000004,0.246031746031746,17.721518987341806,16.250000000000004,-0.0291005291005291
formal_logic,0.3174603174603174,0.3174603174603174,0.2857142857142857,-9.999999999999984,-9.999999999999984,0.2301587301587301,-27.500000000000004,-27.500000000000004,0.05555555555555561
global_facts,0.18,0.19,0.23,27.77777777777779,21.052631578947373,0.27,50.000000000000014,42.10526315789475,-0.04000000000000001
high_school_biology,0.1806451612903225,0.2,0.2354838709677419,30.357142857142904,17.741935483870943,0.2419354838709677,33.928571428571466,20.96774193548384,-0.006451612903225795
high_school_chemistry,0.1527093596059113,0.2167487684729064,0.2315270935960591,51.61290322580647,6.818181818181824,0.2906403940886699,90.32258064516127,34.090909090909065,-0.059113300492610765
high_school_computer_science,0.25,0.24,0.27,8.000000000000007,12.50000000000001,0.3,19.999999999999996,25.0,-0.02999999999999997
high_school_european_history,0.2181818181818181,0.2121212121212121,0.2787878787878788,27.77777777777784,31.428571428571452,0.2787878787878788,27.77777777777784,31.428571428571452,0.0
high_school_geography,0.1767676767676767,0.207070707070707,0.2222222222222222,25.714285714285744,7.317073170731744,0.2373737373737373,34.28571428571428,14.634146341463422,-0.015151515151515083
high_school_government_and_politics,0.1968911917098445,0.2538860103626943,0.2176165803108808,10.526315789473696,-14.285714285714302,0.2279792746113989,15.789473684210531,-10.204081632653086,-0.010362694300518116
high_school_macroeconomics,0.2153846153846154,0.2487179487179487,0.2307692307692307,7.142857142857103,-7.216494845360845,0.1794871794871795,-16.66666666666667,-27.83505154639175,0.05128205128205121
high_school_mathematics,0.2148148148148148,0.2074074074074074,0.2296296296296296,6.896551724137928,10.714285714285705,0.2740740740740741,27.58620689655174,32.14285714285715,-0.04444444444444448
high_school_microeconomics,0.2100840336134453,0.1932773109243697,0.2394957983193277,14.000000000000036,23.913043478260892,0.2100840336134453,0.0,8.695652173913029,0.029411764705882415
high_school_physics,0.1986754966887417,0.1854304635761589,0.1655629139072847,-16.666666666666696,-10.714285714285728,0.1854304635761589,-6.666666666666687,0.0,-0.01986754966887419
high_school_psychology,0.1963302752293578,0.2293577981651376,0.2440366972477064,24.299065420560733,6.4,0.2330275229357798,18.691588785046715,1.6,0.011009174311926606
high_school_statistics,0.1574074074074074,0.1759259259259259,0.2546296296296296,61.764705882352914,44.73684210526316,0.1666666666666666,5.882352941176426,-5.2631578947368665,0.08796296296296299
high_school_us_history,0.25,0.25,0.2156862745098039,-13.725490196078438,-13.725490196078438,0.2352941176470588,-5.882352941176483,-5.882352941176483,-0.019607843137254888
high_school_world_history,0.2742616033755274,0.270042194092827,0.2911392405063291,6.1538461538461595,7.812500000000008,0.2616033755274262,-4.6153846153846,-3.1249999999999827,0.029535864978902926
human_aging,0.3139013452914798,0.336322869955157,0.210762331838565,-32.857142857142854,-37.33333333333334,0.3273542600896861,4.285714285714299,-2.666666666666674,-0.11659192825112111
human_sexuality,0.2519083969465648,0.2366412213740458,0.2595419847328244,3.0303030303030587,9.677419354838703,0.2213740458015267,-12.121212121212102,-6.451612903225818,0.03816793893129772
international_law,0.2396694214876033,0.2644628099173554,0.2892561983471074,20.689655172413783,9.37499999999999,0.256198347107438,6.89655172413792,-3.12500000000001,0.03305785123966942
jurisprudence,0.2592592592592592,0.287037037037037,0.2407407407407407,-7.142857142857134,-16.129032258064512,0.2777777777777778,7.142857142857177,-3.2258064516128795,-0.03703703703703709
logical_fallacies,0.2269938650306748,0.2085889570552147,0.2085889570552147,-8.108108108108098,0.0,0.2515337423312883,10.810810810810798,20.58823529411762,-0.042944785276073566
machine_learning,0.3125,0.25,0.25,-20.0,0.0,0.3125,0.0,25.0,-0.0625
management,0.174757281553398,0.3106796116504854,0.174757281553398,0.0,-43.750000000000014,0.2233009708737864,27.777777777777807,-28.125,-0.04854368932038838
marketing,0.2863247863247863,0.2521367521367521,0.2222222222222222,-22.388059701492537,-11.864406779661,0.2435897435897435,-14.925373134328385,-3.3898305084745872,-0.02136752136752129
medical_genetics,0.3,0.3,0.2,-33.33333333333333,-33.33333333333333,0.18,-40.0,-40.0,0.020000000000000018
miscellaneous,0.2375478927203065,0.2618135376756066,0.2694763729246487,13.44086021505374,2.9268292682926655,0.2784163473818646,17.20430107526882,6.34146341463415,-0.008939974457215893
moral_disputes,0.2341040462427745,0.2283236994219653,0.2398843930635838,2.4691358024691588,5.063291139240516,0.2369942196531791,1.2345679012345556,3.7974683544303542,0.002890173410404706
moral_scenarios,0.2368715083798882,0.2491620111731843,0.2368715083798882,0.0,-4.932735426008965,0.2558659217877095,8.018867924528331,2.690582959641287,-0.018994413407821292
nutrition,0.2287581699346405,0.2091503267973856,0.1993464052287581,-12.857142857142875,-4.687500000000024,0.2483660130718954,8.571428571428578,18.750000000000004,-0.0490196078431373
philosophy,0.1704180064308681,0.22508038585209,0.2379421221864952,39.62264150943402,5.714285714285732,0.2797427652733119,64.15094339622647,24.285714285714295,-0.04180064308681669
prehistory,0.2222222222222222,0.2191358024691358,0.2407407407407407,8.33333333333332,9.859154929577445,0.2654320987654321,19.444444444444457,21.126760563380287,-0.024691358024691412
professional_accounting,0.2340425531914893,0.2411347517730496,0.2127659574468085,-9.09090909090907,-11.764705882352926,0.2482269503546099,6.06060606060607,2.94117647058824,-0.035460992907801386
professional_law,0.2464146023468057,0.2477183833116036,0.2555410691003911,3.7037037037037,3.1578947368421137,0.242503259452412,-1.5873015873015748,-2.1052631578947127,0.013037809647979098
professional_medicine,0.1838235294117647,0.1727941176470588,0.2389705882352941,30.0,38.29787234042555,0.2022058823529411,9.999999999999966,17.021276595744656,0.036764705882353005
professional_psychology,0.2483660130718954,0.2173202614379085,0.2320261437908496,-6.578947368421074,6.766917293233046,0.2581699346405229,3.9473684210526514,18.796992481203016,-0.026143790849673304
public_relations,0.2181818181818181,0.2272727272727272,0.209090909090909,-4.16666666666667,-8.000000000000016,0.3181818181818182,45.83333333333339,40.000000000000036,-0.10909090909090918
security_studies,0.1877551020408163,0.1959183673469387,0.273469387755102,45.65217391304347,39.58333333333336,0.1714285714285714,-8.695652173913047,-12.499999999999984,0.10204081632653059
sociology,0.2437810945273631,0.2437810945273631,0.2437810945273631,0.0,0.0,0.2288557213930348,-6.122448979591811,-6.122448979591811,0.01492537313432829
us_foreign_policy,0.3,0.25,0.24,-20.0,-4.0000000000000036,0.23,-23.33333333333333,-7.9999999999999964,0.009999999999999981
virology,0.2831325301204819,0.2590361445783132,0.1987951807228915,-29.7872340425532,-23.255813953488378,0.2590361445783132,-8.51063829787235,0.0,-0.060240963855421686
world_religions,0.3216374269005848,0.2865497076023391,0.2865497076023391,-10.909090909090926,0.0,0.2573099415204678,-20.0,-10.204081632653043,0.029239766081871288
