,627k,650k,662k,665k,675k,AVG
High School European History (Avg: 0.239),0.22424242424242424,0.2545454545454545,0.19393939393939394,0.2787878787878788,0.24242424242424243,0.23878787878787877
College Biology (Avg: 0.242),0.2222222222222222,0.2638888888888889,0.25,0.25,0.2222222222222222,0.2416666666666667
Jurisprudence (Avg: 0.241),0.21296296296296297,0.21296296296296297,0.25925925925925924,0.2222222222222222,0.2962962962962963,0.24074074074074076
Professional Law (Avg: 0.251),0.24967405475880053,0.24445893089960888,0.24837027379400262,0.27249022164276404,0.2392438070404172,0.2508474576271187
High School Psychology (Avg: 0.250),0.24220183486238533,0.3486238532110092,0.2018348623853211,0.22385321100917432,0.23486238532110093,0.25027522935779817
High School Statistics (Avg: 0.237),0.18981481481481483,0.4722222222222222,0.14814814814814814,0.21296296296296297,0.16203703703703703,0.23703703703703702
High School Chemistry (Avg: 0.250),0.2561576354679803,0.28078817733990147,0.15270935960591134,0.2955665024630542,0.2660098522167488,0.25024630541871923
Marketing (Avg: 0.251),0.2692307692307692,0.19658119658119658,0.28205128205128205,0.2564102564102564,0.25213675213675213,0.2512820512820513
College Computer Science (Avg: 0.246),0.26,0.33,0.23,0.26,0.15,0.246
College Physics (Avg: 0.243),0.23529411764705882,0.37254901960784315,0.21568627450980393,0.19607843137254902,0.19607843137254902,0.2431372549019608
High School Macroeconomics (Avg: 0.238),0.1794871794871795,0.3641025641025641,0.2153846153846154,0.2128205128205128,0.2205128205128205,0.23846153846153845
High School World History (Avg: 0.246),0.2869198312236287,0.20253164556962025,0.21518987341772153,0.26582278481012656,0.2616033755274262,0.24641350210970464
Us Foreign Policy (Avg: 0.248),0.24,0.26,0.28,0.25,0.21,0.248
High School Microeconomics (Avg: 0.242),0.21008403361344538,0.3487394957983193,0.20588235294117646,0.2184873949579832,0.226890756302521,0.24201680672268905
College Chemistry (Avg: 0.234),0.18,0.41,0.2,0.17,0.21,0.23400000000000004
High School Us History (Avg: 0.241),0.24019607843137256,0.2549019607843137,0.2107843137254902,0.2647058823529412,0.23529411764705882,0.24117647058823533
Human Sexuality (Avg: 0.237),0.20610687022900764,0.2824427480916031,0.2366412213740458,0.22900763358778625,0.22900763358778625,0.23664122137404578
Medical Genetics (Avg: 0.248),0.24,0.24,0.3,0.2,0.26,0.248
Virology (Avg: 0.260),0.30120481927710846,0.1927710843373494,0.28313253012048195,0.20481927710843373,0.3192771084337349,0.2602409638554217
Machine Learning (Avg: 0.252),0.25892857142857145,0.16071428571428573,0.3125,0.24107142857142858,0.2857142857142857,0.25178571428571433
Management (Avg: 0.227),0.13592233009708737,0.3786407766990291,0.17475728155339806,0.1941747572815534,0.2524271844660194,0.22718446601941747
Conceptual Physics (Avg: 0.238),0.19574468085106383,0.20851063829787234,0.26382978723404255,0.2,0.32340425531914896,0.23829787234042552
Human Aging (Avg: 0.245),0.2242152466367713,0.10762331838565023,0.31390134529147984,0.20179372197309417,0.37668161434977576,0.2448430493273543
Business Ethics (Avg: 0.228),0.23,0.21,0.21,0.23,0.26,0.22800000000000004
