,217k,225k,232k,235k,237k,AVG
Jurisprudence (Avg: 0.246),0.25925925925925924,0.21296296296296297,0.23148148148148148,0.2962962962962963,0.23148148148148148,0.2462962962962963
Philosophy (Avg: 0.238),0.1864951768488746,0.24115755627009647,0.22186495176848875,0.24115755627009647,0.2990353697749196,0.2379421221864952
Business Ethics (Avg: 0.254),0.3,0.21,0.29,0.24,0.23,0.254
Econometrics (Avg: 0.240),0.24561403508771928,0.23684210526315788,0.2543859649122807,0.21929824561403508,0.24561403508771928,0.24035087719298245
High School Macroeconomics (Avg: 0.248),0.2076923076923077,0.3641025641025641,0.2230769230769231,0.23076923076923078,0.2128205128205128,0.24769230769230766
Computer Security (Avg: 0.238),0.28,0.18,0.25,0.18,0.3,0.238
Us Foreign Policy (Avg: 0.228),0.28,0.26,0.21,0.14,0.25,0.22800000000000004
High School Microeconomics (Avg: 0.221),0.20588235294117646,0.24789915966386555,0.21428571428571427,0.226890756302521,0.21008403361344538,0.2210084033613445
Virology (Avg: 0.227),0.27710843373493976,0.1927710843373494,0.26506024096385544,0.1927710843373494,0.20481927710843373,0.2265060240963855
College Computer Science (Avg: 0.234),0.25,0.32,0.22,0.12,0.26,0.23399999999999999
Machine Learning (Avg: 0.223),0.3125,0.16964285714285715,0.23214285714285715,0.16071428571428573,0.24107142857142858,0.22321428571428573
Human Aging (Avg: 0.204),0.31390134529147984,0.1031390134529148,0.29596412556053814,0.10762331838565023,0.20179372197309417,0.20448430493273545
